Type,Venue Name,Category,City,Place ID,Current Folder,Available Images,Unmapped Folder,Folder Type,Notes
Unmapped Folder,,,,,,,._Lahore_ChIJRSShs5gFGTkRfh9RZ2UNYSM,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,14th_Street_Pizza_Co._Johar_Town_8293,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,14th_Street_Pizza_Co.___Headquarters,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,"14th_Street_Pizza_Co.___Khayaban-e-Nishat,_DHA",Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,"14th_Street_Pizza_Co.___Rashid_Minhas_Road,_Gulshan",Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,14th_Street_Pizza_Co.___Shaheed-e-Millat_Road,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,1_-_A_3_Plaza_Lahore_ChIJieGl5HoFGTkR5QFKGmWmhaY,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,4_Friends_Reci-p_6781,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,4_Seasons_Food_ÙÙˆØ±_Ø³ÛŒØ²Ù†Ø³_ÙÙˆÚˆ_10560,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,4_Sseason_Foods_&_Biryani_Hub,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,9SH_RESTAURANT_(NOSH)_9287,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Abaseen_Hotel_4969,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Abdullah_Nihari_and_Sheermal_House_10278,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghani_Allu_Paratha_Bolani_Aur_Manto_Dumplings_7789,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghan_Grilled_House_5874,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghan_Tikka_House_And_Pulao_5688,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghan_Wraps_&_Fries_i-10_Markaz,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Afridi_Night_4853,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afridi_Tea_Stall_and_Paratha_House_6415,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Agha_hadi_Juice_10707,4-digit numbered,Numbered folder - potential for venue matching
